,Date,Price,Open,High,Low,Vol.,Change %
0,2022-08-19,95.78,96.8,97.84,94.26,,-0.84%
1,2022-08-18,96.59,93.29,97.42,93.05,208.55K,3.14%
2,2022-08-17,93.65,92.67,94.48,91.51,199.19K,1.42%
3,2022-08-16,92.34,94.01,95.95,91.71,217.75K,-2.90%
4,2022-08-15,95.1,97.72,98.17,92.78,217.57K,-3.11%
5,2022-08-12,98.15,99.33,100.38,96.94,188.13K,-1.46%
6,2022-08-11,99.6,97.04,100.17,96.63,219.42K,2.26%
7,2022-08-10,97.4,96.34,97.97,93.63,247.74K,1.13%
8,2022-08-09,96.31,96.36,98.4,94.9,219.67K,-0.35%
9,2022-08-08,96.65,94.51,96.82,93.01,201.25K,1.82%
10,2022-08-05,94.92,93.65,96.4,92.78,216.20K,0.85%
11,2022-08-04,94.12,97.1,97.66,93.2,264.81K,-2.75%
12,2022-08-03,96.78,99.73,102.41,96.5,293.11K,-3.74%
13,2022-08-02,100.54,99.87,102.41,98.49,229.68K,0.51%
14,2022-08-01,100.03,103.92,104.43,99.09,272.84K,-9.07%
15,2022-07-29,110.01,108.0,110.67,106.9,9.13K,2.68%
16,2022-07-28,107.14,107.31,109.06,106.0,80.84K,0.49%
17,2022-07-27,106.62,104.75,107.86,103.73,77.69K,2.13%
18,2022-07-26,104.4,104.73,107.34,103.99,110.00K,-0.71%
19,2022-07-25,105.15,103.85,105.38,101.64,123.67K,1.89%
20,2022-07-22,103.2,103.86,105.72,101.9,137.24K,-0.64%
21,2022-07-21,103.86,106.49,106.78,101.5,228.70K,-2.86%
22,2022-07-20,106.92,107.07,107.45,105.08,186.70K,-0.40%
23,2022-07-19,107.35,105.74,107.61,103.6,226.40K,1.02%
24,2022-07-18,106.27,100.82,106.48,99.46,213.50K,5.05%
25,2022-07-15,101.16,99.91,102.64,98.17,218.09K,2.08%
26,2022-07-14,99.1,99.43,100.39,94.5,318.79K,-0.47%
27,2022-07-13,99.57,98.5,101.21,98.28,247.47K,0.08%
28,2022-07-12,99.49,106.25,106.56,98.9,275.62K,-7.11%
29,2022-07-11,107.1,107.0,107.7,103.64,194.66K,0.07%
30,2022-07-08,107.02,104.65,107.47,103.67,238.35K,2.26%
31,2022-07-07,104.65,100.14,106.35,98.5,279.66K,3.93%
32,2022-07-06,100.69,104.88,105.85,98.5,350.30K,-2.02%
33,2022-07-05,102.77,113.54,114.75,101.1,428.84K,-9.45%
34,2022-07-04,113.5,111.65,114.0,110.4,100.59K,1.68%
35,2022-07-01,111.63,109.49,112.45,108.03,235.42K,-2.77%
36,2022-06-30,114.81,116.01,116.67,114.22,7.11K,-1.25%
37,2022-06-29,116.26,117.96,120.41,115.2,54.34K,-1.46%
38,2022-06-28,117.98,115.74,118.27,115.72,65.76K,2.51%
39,2022-06-27,115.09,112.92,116.08,111.26,118.10K,1.74%
40,2022-06-24,113.12,110.04,114.0,109.24,134.18K,2.79%
41,2022-06-23,110.05,109.58,112.7,108.04,195.92K,-1.51%
42,2022-06-22,111.74,114.4,114.45,107.03,293.05K,-2.54%
43,2022-06-21,114.65,114.21,116.25,114.02,204.03K,0.46%
44,2022-06-20,114.13,113.88,114.5,111.52,161.60K,0.89%
45,2022-06-17,113.12,119.13,121.25,111.72,319.91K,-5.58%
46,2022-06-16,119.81,119.65,120.29,115.56,276.68K,1.10%
47,2022-06-15,118.51,120.79,121.88,117.75,231.06K,-2.20%
48,2022-06-14,121.17,121.88,125.19,118.91,291.26K,-0.90%
49,2022-06-13,122.27,121.94,123.7,118.93,257.11K,0.21%
50,2022-06-10,122.01,122.89,124.33,119.81,294.28K,-0.86%
51,2022-06-09,123.07,123.6,124.34,122.5,218.98K,-0.41%
52,2022-06-08,123.58,120.65,124.4,120.45,256.29K,2.50%
53,2022-06-07,120.57,119.94,121.37,118.55,276.72K,0.89%
54,2022-06-06,119.51,121.55,121.95,118.77,204.09K,-0.18%
55,2022-06-03,119.72,118.22,121.45,116.02,141.66K,1.79%
56,2022-06-02,117.61,115.02,118.46,112.45,216.90K,1.14%
57,2022-06-01,116.29,116.08,118.57,115.4,242.16K,-5.33%
58,2022-05-31,122.84,122.2,125.28,121.6,11.56K,0.96%
59,2022-05-30,121.67,119.28,122.01,118.98,42.41K,1.88%
60,2022-05-27,119.43,117.52,119.72,116.63,81.16K,1.73%
61,2022-05-26,117.4,114.35,118.0,113.85,123.58K,2.96%
62,2022-05-25,114.03,114.12,115.3,113.01,152.33K,0.41%
63,2022-05-24,113.56,112.79,114.63,111.7,191.73K,0.12%
64,2022-05-23,113.42,112.85,114.34,111.86,196.51K,0.77%
65,2022-05-20,112.55,111.45,113.23,110.52,180.89K,0.46%
66,2022-05-19,112.04,108.22,112.31,105.7,272.35K,2.69%
67,2022-05-18,109.11,112.91,114.15,108.35,245.04K,-2.52%
68,2022-05-17,111.93,114.42,115.69,111.09,277.89K,-2.02%
69,2022-05-16,114.24,111.67,114.79,108.84,218.44K,2.41%
70,2022-05-13,111.55,108.25,111.69,107.79,220.32K,3.82%
71,2022-05-12,107.45,107.67,108.71,104.69,264.26K,-0.06%
72,2022-05-11,107.51,101.51,108.29,101.3,287.53K,4.93%
73,2022-05-10,102.46,105.5,106.96,101.54,327.99K,-3.28%
74,2022-05-09,105.94,112.94,113.2,105.0,302.17K,-5.74%
75,2022-05-06,112.39,111.27,113.5,109.87,249.83K,1.34%
76,2022-05-05,110.9,110.55,114.0,109.2,279.88K,0.69%
77,2022-05-04,110.14,105.91,111.0,105.46,241.68K,4.93%
78,2022-05-03,104.97,107.61,108.32,104.62,184.20K,-2.43%
79,2022-05-02,107.58,106.3,108.46,103.1,151.34K,-1.61%
80,2022-04-29,109.34,107.55,110.3,107.0,12.02K,1.63%
81,2022-04-28,107.59,104.96,108.0,103.29,73.32K,2.16%
82,2022-04-27,105.32,105.45,106.33,103.27,67.06K,0.31%
83,2022-04-26,104.99,102.53,106.2,101.08,138.20K,2.61%
84,2022-04-25,102.32,105.49,105.85,99.48,156.35K,-4.06%
85,2022-04-22,106.65,108.26,108.76,105.54,125.87K,-1.55%
86,2022-04-21,108.33,107.07,109.8,106.76,185.38K,1.43%
87,2022-04-20,106.8,108.1,109.0,104.65,243.67K,-0.42%
88,2022-04-19,107.25,112.85,114.21,106.74,239.91K,-5.22%
89,2022-04-18,113.16,112.32,114.84,110.71,132.15K,1.31%
90,2022-04-14,111.7,108.29,112.39,106.63,210.18K,2.68%
91,2022-04-13,108.78,105.44,109.0,104.06,247.26K,3.96%
92,2022-04-12,104.64,99.35,105.6,98.9,273.95K,6.26%
93,2022-04-11,98.48,103.21,103.3,97.57,238.69K,-4.18%
94,2022-04-08,102.78,101.42,103.3,99.65,217.64K,2.19%
95,2022-04-07,100.58,101.78,103.59,98.41,296.03K,-0.48%
96,2022-04-06,101.07,105.7,108.67,100.54,286.52K,-5.22%
97,2022-04-05,106.64,108.51,109.9,104.53,203.06K,-0.83%
98,2022-04-04,107.53,104.08,108.68,102.89,218.68K,3.01%
99,2022-04-01,104.39,105.25,106.24,102.35,238.62K,-3.26%
100,2022-03-31,107.91,112.81,112.94,106.5,8.68K,-4.88%
101,2022-03-30,113.45,112.0,114.8,110.74,72.33K,2.92%
102,2022-03-29,110.23,110.1,114.83,104.84,93.68K,-2.00%
103,2022-03-28,112.48,119.9,119.9,109.06,150.82K,-6.77%
104,2022-03-25,120.65,118.88,120.92,115.16,133.46K,1.36%
105,2022-03-24,119.03,121.56,123.74,116.93,177.66K,-2.11%
106,2022-03-23,121.6,114.7,122.34,114.45,224.53K,5.30%
107,2022-03-22,115.48,117.04,119.48,112.64,204.66K,-0.12%
108,2022-03-21,115.62,107.5,116.8,107.06,196.49K,7.12%
109,2022-03-18,107.93,106.8,109.59,105.78,168.91K,1.21%
110,2022-03-17,106.64,98.61,107.5,97.75,200.95K,8.79%
111,2022-03-16,98.02,99.14,103.7,96.93,246.82K,-1.89%
112,2022-03-15,99.91,105.34,105.71,97.44,318.12K,-6.54%
113,2022-03-14,106.9,113.15,113.15,103.49,265.91K,-5.12%
114,2022-03-11,112.67,110.26,113.91,107.13,287.39K,3.05%
115,2022-03-10,109.33,112.65,118.36,109.0,352.34K,-1.63%
116,2022-03-09,111.14,130.28,131.64,105.6,521.58K,-13.16%
117,2022-03-08,127.98,124.56,133.15,121.31,469.99K,3.87%
118,2022-03-07,123.21,122.79,139.13,119.04,419.93K,4.32%
119,2022-03-04,118.11,114.23,118.98,109.62,334.41K,6.93%
120,2022-03-03,110.46,115.27,119.84,109.4,452.52K,-2.19%
121,2022-03-02,112.93,107.34,115.11,106.83,490.57K,7.58%
122,2022-03-01,104.97,98.43,107.67,98.3,492.51K,3.94%
123,2022-02-28,100.99,101.98,105.07,99.64,22.96K,3.12%
124,2022-02-25,97.93,100.69,101.99,96.0,68.98K,-1.16%
125,2022-02-24,99.08,98.08,105.79,97.56,167.79K,2.31%
126,2022-02-23,96.84,96.65,98.71,95.81,238.63K,0.00%
127,2022-02-22,96.84,96.55,99.5,95.8,316.38K,1.52%
128,2022-02-21,95.39,94.29,97.4,92.57,217.04K,1.98%
129,2022-02-18,93.54,92.73,94.15,90.12,348.35K,0.61%
130,2022-02-17,92.97,92.2,94.5,92.14,347.79K,-1.94%
131,2022-02-16,94.81,93.49,96.07,91.11,393.79K,1.64%
132,2022-02-15,93.28,95.81,96.26,92.06,378.25K,-3.32%
133,2022-02-14,96.48,95.2,96.78,93.44,373.09K,2.16%
134,2022-02-11,94.44,91.17,95.66,90.51,452.11K,3.31%
135,2022-02-10,91.41,91.75,93.1,90.88,369.01K,-0.15%
136,2022-02-09,91.55,91.08,92.09,90.05,294.00K,0.85%
137,2022-02-08,90.78,92.63,92.93,89.93,368.55K,-2.06%
138,2022-02-07,92.69,92.75,94.0,92.13,317.29K,-0.62%
139,2022-02-04,93.27,91.3,93.7,91.2,322.13K,2.37%
140,2022-02-03,91.11,89.07,91.3,88.02,301.79K,1.83%
141,2022-02-02,89.47,89.48,90.52,88.28,319.43K,0.35%
142,2022-02-01,89.16,89.62,89.96,87.72,271.77K,-2.25%
143,2022-01-31,91.21,90.8,91.48,90.61,11.01K,1.31%
144,2022-01-28,90.03,89.98,91.7,89.41,102.01K,0.77%
145,2022-01-27,89.34,89.7,91.04,89.0,131.70K,-0.69%
146,2022-01-26,89.96,87.95,90.47,87.79,260.11K,2.00%
147,2022-01-25,88.2,86.76,88.37,86.2,256.21K,2.24%
148,2022-01-24,86.27,87.93,88.9,85.04,309.89K,-1.84%
149,2022-01-21,87.89,86.75,88.23,85.71,288.21K,-0.55%
150,2022-01-20,88.38,87.89,89.5,87.05,279.52K,-0.07%
151,2022-01-19,88.44,88.65,89.17,87.61,350.94K,1.06%
152,2022-01-18,87.51,86.47,88.66,86.44,356.88K,1.19%
153,2022-01-17,86.48,86.15,86.71,85.54,139.82K,0.49%
154,2022-01-14,86.06,84.12,86.5,83.99,304.72K,1.88%
155,2022-01-13,84.47,84.87,85.1,83.79,265.20K,-0.24%
156,2022-01-12,84.67,83.78,85.21,83.52,301.39K,1.13%
157,2022-01-11,83.72,81.08,83.98,80.89,324.94K,3.52%
158,2022-01-10,80.87,81.76,82.3,80.5,300.65K,-1.08%
159,2022-01-07,81.75,82.0,83.0,81.42,286.11K,-0.29%
160,2022-01-06,81.99,80.22,82.83,79.61,353.16K,1.47%
161,2022-01-05,80.8,80.07,81.5,79.51,331.74K,1.00%
162,2022-01-04,80.0,78.91,80.55,78.62,291.68K,1.29%
163,2022-01-03,78.98,78.11,79.28,77.04,201.03K,1.54%
164,2021-12-31,77.78,78.81,79.68,77.55,148.96K,-1.94%
165,2021-12-30,79.32,79.19,79.66,78.5,10.90K,0.11%
166,2021-12-29,79.23,79.28,80.17,78.13,69.63K,0.37%
167,2021-12-28,78.94,78.67,79.85,78.48,50.41K,0.43%
168,2021-12-27,78.6,76.32,79.08,75.75,85.39K,3.23%
169,2021-12-24,76.14,76.72,76.79,75.75,30.54K,-0.92%
170,2021-12-23,76.85,75.47,77.0,74.78,161.24K,2.07%
171,2021-12-22,75.29,74.05,75.67,73.62,166.71K,1.77%
172,2021-12-21,73.98,71.88,74.27,71.24,214.07K,3.44%
173,2021-12-20,71.52,72.82,72.87,69.28,333.76K,-2.72%
174,2021-12-17,73.52,74.5,74.98,72.65,231.41K,-2.00%
175,2021-12-16,75.02,74.47,75.61,74.0,223.64K,1.54%
176,2021-12-15,73.88,73.25,74.58,72.5,233.19K,0.24%
177,2021-12-14,73.7,74.42,75.16,72.57,277.86K,-0.93%
178,2021-12-13,74.39,75.37,76.39,74.2,265.51K,-1.01%
179,2021-12-10,75.15,73.99,75.71,73.8,221.36K,0.98%
180,2021-12-09,74.42,75.94,76.7,73.84,283.39K,-1.85%
181,2021-12-08,75.82,75.44,76.37,74.38,322.08K,0.50%
182,2021-12-07,75.44,73.6,76.27,73.2,312.28K,3.23%
183,2021-12-06,73.08,70.24,73.8,70.24,255.40K,4.58%
184,2021-12-03,69.88,70.22,72.62,69.24,331.82K,0.30%
185,2021-12-02,69.67,69.72,70.7,65.72,526.60K,1.16%
186,2021-12-01,68.87,69.8,72.87,68.14,420.40K,-2.41%
187,2021-11-30,70.57,74.42,74.56,70.22,24.82K,-3.91%
188,2021-11-29,73.44,73.88,77.02,72.41,126.35K,0.99%
189,2021-11-26,72.72,81.65,81.66,72.14,170.78K,-11.55%
190,2021-11-25,82.22,82.24,82.58,81.7,80.45K,-0.04%
191,2021-11-24,82.25,81.88,83.0,81.74,231.07K,-0.07%
192,2021-11-23,82.31,79.51,82.6,78.55,366.60K,3.27%
193,2021-11-22,79.7,78.58,80.07,77.58,350.90K,1.03%
194,2021-11-19,78.89,81.0,82.24,78.05,479.93K,-2.89%
195,2021-11-18,81.24,80.1,81.41,79.28,306.85K,1.20%
196,2021-11-17,80.28,82.05,82.22,79.78,406.75K,-2.61%
197,2021-11-16,82.43,82.0,83.14,81.52,340.72K,0.46%
198,2021-11-15,82.05,81.92,82.49,80.67,273.72K,-0.15%
199,2021-11-12,82.17,82.83,82.87,81.26,289.30K,-0.84%
200,2021-11-11,82.87,82.85,83.44,81.66,336.14K,0.28%
201,2021-11-10,82.64,84.99,85.5,82.08,366.31K,-2.52%
202,2021-11-09,84.78,83.47,85.3,83.16,346.57K,1.62%
203,2021-11-08,83.43,82.58,84.0,82.53,269.60K,0.83%
204,2021-11-05,82.74,81.25,83.16,80.26,379.69K,2.73%
205,2021-11-04,80.54,81.58,84.49,80.2,472.43K,-1.77%
206,2021-11-03,81.99,84.07,84.2,81.1,380.11K,-3.22%
207,2021-11-02,84.72,84.45,85.23,83.76,317.07K,0.01%
208,2021-11-01,84.71,83.63,85.12,83.03,302.90K,0.39%
209,2021-10-29,84.38,84.33,84.83,83.79,22.77K,0.07%
210,2021-10-28,84.32,84.21,84.59,82.32,118.14K,-0.31%
211,2021-10-27,84.58,86.07,86.28,84.05,149.75K,-2.11%
212,2021-10-26,86.4,86.03,86.5,85.27,222.56K,0.48%
213,2021-10-25,85.99,85.65,86.7,85.43,294.55K,0.54%
214,2021-10-22,85.53,84.52,85.93,83.82,298.35K,1.09%
215,2021-10-21,84.61,85.9,86.1,83.36,373.65K,-1.41%
216,2021-10-20,85.82,85.19,85.89,83.61,378.69K,0.87%
217,2021-10-19,85.08,84.21,85.4,83.7,371.79K,0.89%
218,2021-10-18,84.33,84.95,86.04,83.95,340.96K,-0.62%
219,2021-10-15,84.86,84.3,85.1,84.16,276.47K,1.02%
220,2021-10-14,84.0,83.45,84.5,83.18,316.64K,0.99%
221,2021-10-13,83.18,83.1,83.69,82.2,333.68K,-0.29%
222,2021-10-12,83.42,83.49,84.23,82.72,331.41K,-0.27%
223,2021-10-11,83.65,82.65,84.6,82.54,330.44K,1.53%
224,2021-10-08,82.39,82.38,83.43,81.96,360.97K,0.54%
225,2021-10-07,81.95,80.98,82.5,79.08,393.10K,1.07%
226,2021-10-06,81.08,82.57,83.47,80.6,401.36K,-1.79%
227,2021-10-05,82.56,81.27,83.13,81.19,340.27K,1.60%
228,2021-10-04,81.26,79.49,82.0,78.75,362.37K,2.50%
229,2021-10-01,79.28,78.49,79.41,77.55,282.37K,0.97%
230,2021-09-30,78.52,78.46,79.11,77.6,20.51K,-0.15%
231,2021-09-29,78.64,78.25,79.4,77.5,97.97K,-0.57%
232,2021-09-28,79.09,79.4,80.75,78.1,132.33K,-0.55%
233,2021-09-27,79.53,78.25,79.9,78.21,231.13K,1.84%
234,2021-09-24,78.09,77.26,78.24,76.85,163.23K,1.09%
235,2021-09-23,77.25,75.9,77.35,75.6,226.59K,1.39%
236,2021-09-22,76.19,74.56,76.26,74.49,255.75K,2.46%
237,2021-09-21,74.36,74.33,75.18,73.26,258.71K,0.60%
238,2021-09-20,73.92,75.33,75.4,73.52,313.75K,-1.88%
239,2021-09-17,75.34,75.68,75.78,74.58,254.86K,-0.44%
240,2021-09-16,75.67,75.46,75.87,74.48,236.51K,0.28%
241,2021-09-15,75.46,73.92,76.13,73.78,289.45K,2.53%
242,2021-09-14,73.6,73.62,74.28,73.08,278.58K,0.12%
